Model, Price, Mileage, Color, Interior.Color, Fueltype, Transmission, Drivetype
Used 2013 Audi Q7 3.0T S Line Prestige quattro,37800,38510,Glacier White Metallic,Espresso,Gasoline,8-Speed Automatic,AWD
Used 2007 Audi Q7,13900,121447,Gray,Gray Leather,Gasoline,6 speed automatic,AWD
Used 2017 Audi R8 5.2 plus quattro,187800,8029,Ibis White,Express Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro Spyder,87493,24952,Daytona Gray Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,75962,30163,Ibis White,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2,154990,6392,Florett Silver Metallic,Black / Express Red,Gasoline,Automatic,AWD
Used 2011 Audi R8 5.2 quattro Spyder,99800,13262,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2010 Audi R8 5.2 quattro,85998,20499,Gray,unknown,Gasoline,6-Speed Manual,AWD
Used 2014 Audi Q7 3.0T S Line Prestige quattro,36800,53259,Black,Black,Gasoline,8-Speed Automatic,AWD
Used 2014 Audi Q7 3.0T S Line Prestige quattro,33350,68925,Orca Black Metallic,Black,Gasoline,8-Speed Automatic,AWD
Used 2008 Audi R8,68900,29687,Ibis White,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8 5.2,129599,5104,Brilliant Red,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,68780,39899,Mugello Blue Pearl Effect,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,72800,33869,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 5.2,119982,4528,Gray,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi Q7 3.0T Premium quattro,19995,107120,Gray,Black,Gasoline,8-Speed Automatic,AWD
Used 2015 Audi Q7 3.0T S Line Prestige quattro,50795,16920,Midnight Black,Black,Gasoline,8-Speed Automatic,AWD
Used 2015 Audi R8 4.2 Spyder quattro,103917,31922,,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi R8 5.2 quattro,89990,15001,Black,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2 plus quattro,177990,3357,Florett Silver Metallic,Black / Silver,Gasoline,Automatic,AWD
Used 2009 Audi R8,82165,12617,Mugello Blue Pearl Effect,Limestone Gray,Gasoline,6-Speed,AWD
Used 2017 Audi R8 V10,167575,5811,Florett Silver Metallic,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi Q7 3.0T Premium,40777,41619,Night Black,Black,Gasoline,8-Speed Automatic w/OD,AWD
Used 2015 Audi R8 5.2,129984,19713,Red,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2,122981,5450,White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2009 Audi R8,73990,31126,White,unknown,Gasoline,6-Speed Manual,AWD
Used 2009 Audi R8,68999,44604,Ibis White,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro,84900,28612,Ibis White,Black,Gasoline,6-Speed Manual,AWD
Used 2010 Audi R8 5.2 quattro,93500,30331,Ice Silver Metallic / Apollo Silver,Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi Q7 3.0T quattro,25990,59571,Black,Cardamom,Gasoline,8-Speed Automatic,AWD
Used 2014 Audi R8 V8,89554,18690,Brilliant Red/Black Roof,Black/Beige Stitching,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2014 Audi R8 5.2,124900,4200,Ice Silver Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 Spyder,110000,10250,Black,Red,Gasoline,Manual,AWD
Used 2017 Audi R8 5.2,159999,2595,Daytona Gray Pearl Effect,Black / Express Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8 4.2,99987,13735,,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,70900,30438,Ice Silver Metallic,Black,Gasoline,6-Speed Manual,AWD
Used 2008 Audi R8,83950,30500,Phantom Black Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,69995,31177,Ice Silver Metallic,Limestone Gray,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi Q7 3.6 quattro,11950,139305,White,Tan,Gasoline,6-Speed Automatic,AWD
Used 2009 Audi R8,76989,22238,Phantom Black Pearl,Black,Gasoline,6-Speed,AWD
Used 2014 Audi R8 4.2,99880,6427,Gray,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 4.2 Spyder quattro,104991,9957,Brilliant Red / Black,Luxor Beige,Gasoline,6-Speed Manual,AWD
Used 2015 Audi Q7 3.0T Premium,40995,32389,Glacier White Metallic,Black,Gasoline,8-Speed Automatic w/OD,AWD
Used 2014 Audi R8 5.2 plus quattro,139850,873,Ibis White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2,158995,1831,Ara Blue Crystal Effect,Rotor Gray,Gasoline,Automatic,AWD
Used 2009 Audi R8,89997,31583,Brilliant Red,Black,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 5.2 quattro Spyder,89800,29902,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2013 Audi Q7 3.0T S Line Prestige quattro,39995,24764,Mugello Blue Pearl,Black,Gasoline,8-Speed Automatic,AWD
Used 2012 Audi R8 5.2 quattro,115977,12800,Gray,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8,129999,8182,Brilliant Red,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro,82937,26509,Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi R8 4.2 quattro,73977,36977,Ibis White,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 4.2 Spyder quattro,106890,21839,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 5.2,119995,20412,Metallic,Black / Red,Gasoline,6-Speed Manual,AWD
Used 2010 Audi R8 4.2 quattro,76762,29141,White,unknown,Gasoline,6-Speed,AWD
Used 2008 Audi R8,62990,64982,Blue Metallic,Limestone Gray,Gasoline,6-Speed Manual,AWD
Used 2017 Audi R8 5.2,168395,933,Dynamite Red,Black / Express Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro Spyder,97999,12042,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 4.2 Spyder quattro,97500,16547,Estoril Blue Crystal Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2014 Audi R8 4.2 Spyder quattro,111886,4001,Estoril Blue,Nougat Brown,Gasoline,6-Speed Manual,AWD
Used 2012 Audi R8 4.2L,99950,2702,Daytona Gray Pearl,Red,Gasoline,6-Speed Manual,AWD
Used 2017 Audi R8 5.2 plus quattro,185870,1579,Daytona Gray Pearl Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 4.2,99395,20552,Ibis White,Black,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 5.2 quattro Spyder,95888,23156,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8,134999,2493,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro Spyder,88995,24025,Ibis White,Red,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 5.2,129955,13512,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro Spyder,104999,25088,White,Red,Gasoline,6-Speed Manual,AWD
Used 2009 Audi R8,76999,17204,Silver,Limestone Gray,Gasoline,6-Speed Manual,AWD
Used 2010 Audi R8 4.2 quattro,76850,56041,Black,Black,Gasoline,Automanual,AWD
Used 2014 Audi R8 5.2,125900,11312,Orange,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2 plus quattro,179888,2888,Suzuka Gray Metallic,Black / Express Red,Gasoline,Automatic,AWD
Used 2009 Audi R8,71999,35739,Silver,Charcoal,Gasoline,Auto/Manual,AWD
Used 2009 Audi R8,77900,25055,Ibis White,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi R8 5.2 quattro,89995,19428,Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 5.2L,102995,10580,Phantom Black Metallic,Black,Gasoline,6-Speed Automatic,AWD
Used 2012 Audi R8 5.2 quattro,103988,13115,Red,Black,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 5.2 quattro Spyder,95888,13515,Phantom Black Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2012 Audi R8 4.2 quattro Spyder,115900,4541,Gray,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro Spyder,117000,44965,Phantom Black Pearl Effect / Black Roof,Black,Gasoline,6-Speed Manual,AWD
Used 2009 Audi R8,71963,40810,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 V10,119047,10718,Ibis White,Black/Diamond Stitching,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2010 Audi R8 5.2 quattro,84995,34422,Ice Silver Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi R8 4.2 quattro,70995,40639,Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2,168995,5146,Daytona Gray Pearl Effect,Express Red,Gasoline,Automatic,AWD
Used 2010 Audi R8 4.2 quattro,78995,7990,Ice Silver Metallic,Limestone Gray,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 4.2 quattro Spyder,79995,40843,Phantom Black Pearl,Nougat Brown,Gasoline,6-Speed Manual,AWD
Used 2010 Audi R8 4.2 quattro,76977,35390,Daytona Gray Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 5.2 quattro Spyder,95995,16664,Brilliant Red / Black,Luxor Beige,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 4.2 quattro Spyder,78995,53460,Daytona Gray Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro Spyder,94995,33002,Ibis White / Black Roof,Red,Gasoline,6-Speed Manual,AWD
Used 2011 Audi R8 5.2 quattro Spyder,93991,33223,Brilliant Red,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8 4.2,112995,4604,Metallic,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 4.2,91995,14021,Ibis White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro,93750,7651,Ibis White,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi R8 GT,137500,5976,Orange,Black,Gasoline,Automanual,AWD
Used 2011 Audi R8 4.2 quattro,82995,22361,Ibis White / Black Roof,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro,94990,9301,Phantom Black Pearl,Black,Gasoline,6 speed manual,AWD
Used 2010 Audi R8 5.2 quattro,86969,22337,Black,Tuscan Brown,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 5.2,121980,11868,Phantom Black Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 4.2,102900,1700,Silver,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2 plus quattro,249786,118,Audi Exclusive Color,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2,125590,16360,Brilliant Red,Luxor Beige,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2 plus quattro,185988,1062,Suzuka Gray Metallic,Express Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 5.2 quattro Spyder,100777,27536,Phantom Black Pearl Effect / Black Roof,Limestone Gray,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi R8 5.2,129955,9491,Glacier White Metallic,Black,Gasoline,6-Speed Manual,AWD
Used 2009 Audi R8,81900,3258,Ice Silver Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2,124900,6832,Ibis White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2,169961,2100,Daytona Gray Pearl Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi R8,86000,15900,Yellow,Black,Gasoline,Manual,AWD
Used 2008 Audi R8,69900,29613,Phantom Black Pearl,Burgundy,Gasoline,6-Speed Manual,AWD
Used 2012 Audi R8 GT quattro Spyder,114950,22474,Phantom Black Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2 plus,119000,17750,Black,Black,Gasoline,Automatic,AWD
Used 2012 Audi R8 5.2 quattro Spyder,102887,12950,Phantom Black Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 5.2 quattro,109780,758,Phantom Black Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi R8 5.2 plus quattro,249786,296,Audi Exclusive Color,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2,122800,2351,Phantom Black Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi R8 4.2 quattro Spyder,88786,9694,Teak Brown,Beige,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 5.2 plus quattro,137999,9901,Phantom Black Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 5.2 quattro,89786,27795,Black,Gray,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2009 Audi R8,82000,36500,Black,Black,Gasoline,Automanual,AWD
Used 2010 Audi R8 5.2 quattro,87500,33482,Phantom Black Pearl,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 4.2 quattro,92500,3167,Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi R8 4.2,Not Priced,10025,Phantom Black Pearl,Black,Gasoline,6-Speed Manual,AWD
Used 2014 Audi R8 5.2,119000,9810,Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi R8 4.2 quattro,82900,35688,Ibis White,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi R8 5.2 quattro Spyder,103900,9556,Ibis White,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2009 Audi R8,79900,9416,Gray,Tuscan Brown,Gasoline,6-Speed Manual,AWD
Used 2009 Audi R8,74995,20948,Brilliant Red,Luxor Beige,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Prestige quattro,36981,22130,Monsoon Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,32981,28104,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,34991,16278,Monsoon Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2016 Audi S3 2.0T Premium Plus quattro,41555,12215,Mythos Black Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus,39999,9400,Red,Black,Unknown,Automatic,
Used 2015 Audi S3 2.0T Premium Plus quattro,32999,30426,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,36939,33884,Glacier White Metallic,Black,Gasoline,Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,37988,11365,Monsoon Gray Metallic,Black,Gasoline,Automatic,AWD
Used 2011 Audi S4 3.0 Prestige quattro,25900,68575,Quartz Gray Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus,38500,17698,Red,Black,Gasoline,Automanual,AWD
Used 2017 Audi S3 2.0T Premium Plus quattro,41995,3127,Nano Gray Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,Not Priced,7808,,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2001 Audi S4 2.7T Avant quattro,8817,82350,Imola Yellow,Onyx,Gasoline,5-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Prestige quattro,36860,21024,Sepang Blue Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,40995,6068,Monsoon Gray Metallic,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,Not Priced,18660,,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi S4 4.2 Avant quattro,15990,115811,Sebring Silver Metallic,Black,Gasoline,6-Speed Automatic,AWD
Used 2017 Audi S3 2.0T Premium Plus quattro,47995,7010,Daytona Gray Pearl Effect,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi S3 2.0T Premium Plus quattro,44992,5783,Brilliant Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 Premium Plus,38000,8330,Brilliant Black,unknown,Gasoline,6-Speed Auto-Shift Manual w/OD,quattro
Used 2014 Audi S4 3.0T Premium Plus quattro,38995,27206,Phantom Black Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33480,12739,Misano Red Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,34492,28892,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,Not Priced,8330,Brilliant Black,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,28991,59967,Gray,Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Prestige quattro,24410,57798,Brilliant Black,Black / Silver,Gasoline,6-Speed Manual,AWD
Used 2015 Audi S3 2.0T Prestige quattro,33995,48575,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi S3 2.0T Premium Plus quattro,43900,1345,Navarra Blue Pearl Effect,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,32990,67597,Estoril Blue Crystal Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2016 Audi S4 3.0T Premium Plus quattro,44977,13842,Mythos Black Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2016 Audi S3 2.0T Premium Plus quattro,38996,23212,Glacier White Metallic,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2007 Audi S4 quattro,16991,57858,Moro Blue Pearl,Silver / Black,Gasoline,6-Speed Manual,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,35480,21645,Red,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Certified 2014 Audi S4 3.0T Premium Plus quattro,36977,30828,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Premium Plus quattro,19717,91704,Gray,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,35998,5862,Glacier White Metallic,Black,Gasoline,Automatic,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,37821,32402,Misano Red Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2010 Audi S4 3.0 Prestige quattro,24294,73732,Phantom Black Pearl,Black / Silver,Gasoline,6-Speed Manual,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,25495,66655,Brilliant Black,Black / Red,Gasoline,6-Speed Manual,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,34995,19850,Misano Red Pearl,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Prestige quattro,31980,38124,Black,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus quattro,25477,56367,,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33987,16865,Daytona Gray Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S4 3.0T Premium Plus quattro,38195,35602,Mythos Black Metallic,Black,Gasoline,6-Speed Manual,AWD
Used 2013 Audi S4 3.0T Prestige quattro,30888,78193,Misano Red Pearl,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31996,38016,Daytona Gray Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,33891,22752,Blue,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,29994,57015,Monsoon Gray Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus quattro,25307,36960,Blue,Black,Gasoline,6-Speed Manual,AWD
Used 2007 Audi S4 4.2 quattro,11590,115785,Brilliant Black,Ebony,Gasoline,6-Speed Automatic,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,33980,27917,White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2004 Audi S4 4.2 quattro,Not Priced,58109,Goodwood Green Pearl,unknown,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Prestige quattro,44995,1024,Audi Exclusive Color,Black,Gasoline,Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31900,44557,White,unknown,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 4.2 quattro,7595,99430,Gray,Black,Gasoline,6-Speed Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus,39450,16356,Sepang Blue Pearl Effect,Black/Titanium Leather,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,29995,65517,White,Black,Gasoline,6-Speed Manual,AWD
Used 2012 Audi S4 3.0 Prestige quattro,26990,59620,Ibis White,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus,20951,115825,Black,Black,Gasoline,Automatic,AWD
Used 2014 Audi S4 3.0 Premium Plus,Not Priced,28659,White,Black,Gasoline,7-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S3 2.0T Prestige quattro,31998,46989,Misano Red Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31000,34082,Monsoon Gray Metallic / Black Roof,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2015 Audi S3 2.0T Prestige quattro,38479,12435,Sepang Blue Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi S4 4.2 quattro,12990,110200,Phantom Black Pearl,Black / Silver,Gasoline,6-Speed Automatic,AWD
Used 2012 Audi S4 3.0 Prestige quattro,20000,167368,Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,38509,19747,Estoril Blue Crystal Effect,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,23000,84706,Ice Silver Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2016 Audi S3 Premium Plus,41947,11702,Florett Silver Metallic,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Certified 2016 Audi S3 2.0T Premium Plus quattro,39498,14127,Glacier White Metallic,Black,Gasoline,Automatic,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,29416,59862,Black,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Prestige quattro,24945,45233,Meteor Gray Pearl Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,36989,30947,Glacier White Metallic,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2011 Audi S4 3.0 Premium Plus,24500,56000,Black,Black,Gasoline,Automatic,AWD
Used 2016 Audi S3 2.0T Premium Plus quattro,38900,9645,Misano Red Pearl Effect,Black / Magma Red,Gasoline,Automatic,AWD
Used 2012 Audi S4 3.0 Prestige quattro,25000,64200,Ice Silver Metallic,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2005 Audi S4 quattro,7945,150050,Red,unknown,Gasoline,6-Speed Automatic,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,32900,12229,Misano Red Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2012 Audi S4 3.0 Premium Plus quattro,20000,167368,Black,Black / Red,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2017 Audi S3 2.0T Prestige quattro,43998,6328,Navarra Blue Pearl Effect,Black,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,37487,30999,Brilliant Black,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Prestige quattro,Not Priced,60473,Red,unknown,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Certified 2015 Audi S3 2.0T Premium Plus quattro,35695,26239,Florett Silver Metallic,Titanium,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2008 Audi S4 4.2 Avant quattro,20933,73684,Phantom Black Metallic,Black,Gasoline,6-Speed Automatic,AWD
Certified 2016 Audi S3 Premium Plus,42468,13528,Brilliant Black,Black w/Dark Silver Sttch,Gasoline,6-Speed Auto-Shift Manual w/OD,AWD
Used 2015 Audi S3 2.0T Premium Plus quattro,31900,27495,Sepang Blue Pearl,Black / Magma Red,Gasoline,6-Speed Automatic with Auto-Shift,AWD
Used 2013 Audi S4 3.0T Premium Plus quattro,29999,74139,Ibis White,Black,Gasoline,7-Speed Automatic with Auto-Shift,AWD
Used 2014 Audi S4 3.0T Premium Plus quattro,35989,39149,Estoril Blue Crystal Effect,Black / Silver,Gasoline,7-Speed Automatic with Auto-Shift,AWD
