Model, Price, Mileage, Color, Interior.Color, Fueltype, Transmission, Drivetype
Used 2016 Acura ILX 2.4 Technology Plus w/ A-SPEC,23249,14925,Crystal Black Pearl,Ebony,Gasoline,8-Speed Automatic with Auto-Shift,FWD
Certified 2016 Acura MDX 3.5L AcuraWatch Plus Pkg,39695,13835,Graphite Luster Metallic,Ebony,Gasoline,9-Speed Automatic,AWD
Used 2013 Acura ILX 2.0L,15995,42619,Polished Metal Metallic,Ebony,Gasoline,5-Speed Automatic,FWD
Certified 2014 Acura MDX AWDTECH,32991,34557,White Diamond Pearl,Parchment,Unknown,6AT,AWD
Used 2011 Acura MDX 3.7L Technology,17895,105491,Not Specified,unknown,Gasoline,6-Speed Automatic,AWD
Used 2014 Acura ILX 2.0L Technology,17885,37249,Bellanova White Pearl,unknown,Gasoline,5-Speed Automatic,FWD
Used 2014 Acura ILX 2.0L Technology,16690,28228,Crystal Black Pearl,Ebony,Gasoline,5-Speed Automatic,FWD
Used 2013 Acura MDX 3.7L Advance,25998,73021,Silver,unknown,Gasoline,6-Speed Automatic,AWD
Used 2017 Acura ILX Technology,23651,16627,Crystal Black Pearl,Ebony,Gasoline,8-Speed Automatic with Auto-Shift,FWD
Certified 2016 Acura MDX 4TECH,38491,37717,Graphite Luster Metallic,Ebony,Unknown,9AT,
Used 2016 Acura MDX 3.5L w/Technology & Entertainment Pkgs,38995,20058,Crystal Black Pearl,Ebony,Gasoline,9-Speed Automatic,FWD
Used 2014 Acura ILX 2.0L Technology,17885,37249,Bellanova White Pearl,unknown,Gasoline,5-Speed Automatic,FWD
Certified 2014 Acura MDX 3.5L,28995,31777,Silver Moon,Ebony,Gasoline,6-Speed Automatic,AWD
Used 2012 Acura MDX 3.7L,23998,74501,Black,unknown,Gasoline,6-Speed Automatic,AWD
Used 2015 Acura ILX 2.0L,20300,15251,Silver Moon Metallic,Ebony,Gasoline,5-Speed Automatic w/OD,FWD
Used 2014 Acura MDX 3.5L Technology Package,Not Priced,38808,Graphite Luster Metallic,Greystone,Gasoline,6-Speed Automatic,AWD
Used 2014 Acura ILX 2.0L Technology,18250,21542,Gray,Parchment,Gasoline,5-Speed Automatic,FWD
Used 2014 Acura ILX 2.0L Premium,18250,16935,Silver,Ebony,Gasoline,5-Speed Automatic,FWD
Certified 2015 Acura ILX 2.0L,18225,21817,Bellanova White Pearl,unknown,Gasoline,5-Speed Automatic,FWD
